Date,Repository,URL,Stars,Tags,Description
2023-08-30,facechain-colab,https://github.com/camenduru/facechain-colab,27,🖼️ 2️⃣,
2023-08-30,aidea,https://github.com/mylxsw/aidea,1193,"🔠 🖼️ 🔨 ""Dart""",AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。
2023-08-29,AnomalyGPT,https://github.com/CASIA-IVA-Lab/AnomalyGPT,118,🔠 🖼️ ⛽ 🚌 2️⃣,The first LVLM based IAD method!
2023-08-29,CoVR,https://github.com/lucas-ventura/CoVR,25,🎥 ⛽ 🚌 2️⃣,"Official PyTorch implementation of the paper ""CoVR: Learning Composed Video Retrieval from Web Video Captions""."
2023-08-28,ChatDev,https://github.com/OpenBMB/ChatDev,160,"🔠 🔨 ""Python""",Create Customized Software with Natural Language Ideas
2023-08-28,DiffBIR,https://github.com/XPixelGroup/DiffBIR,48,🖼️ ⛽ 🚌 2️⃣,
2023-08-26,Dumbar,https://github.com/JerrySievert/Dumbar,27,"🔠 🔨 ""JavaScript""","A smrt, no, smart, ok, no dumb smartbar for Ollama"
2023-08-26,awesome-3d-diffusion,https://github.com/cwchenwang/awesome-3d-diffusion,38,📝 🧊,A collection of papers on diffusion models for 3D generation.
2023-08-26,whishper,https://github.com/pluja/whishper,83,"🎵 🔨 ""Svelte""","Transcribe any audio to text, translate and edit subtitles 100% locally with a web UI. Powered by whisper models!"
2023-08-25,awesome-ai-tools,https://github.com/mahseema/awesome-ai-tools,71,🔠 🖼️ 🎵 🎥 📝,A curated list of Artificial Intelligence Top Tools
2023-08-25,DenseDiffusion,https://github.com/naver-ai/DenseDiffusion,248,🖼️ 🚌,Official Pytorch Implementation of DenseDiffusion (ICCV 2023) 
2023-08-25,code-llama-for-vscode,https://github.com/xNul/code-llama-for-vscode,179,"🔠 🔨 ""Python""",Use Code Llama with Visual Studio Code and the Continue extension. A local LLM alternative to GitHub Copilot.
2023-08-25,fastcodellama,https://github.com/yueliu1999/fastcodellama,34,"🔠 🔨 ""Python""",Self-Acceleration of CodeLlama for Code Generation
2023-08-24,codellama,https://github.com/facebookresearch/codellama,7873,🔠 🚕 2️⃣,Inference code for CodeLlama models
2023-08-24,llama2.c-to-ncnn,https://github.com/lrw04/llama2.c-to-ncnn,28,🔠 💡,A converter for llama2.c legacy models to ncnn models.
2023-08-24,eastworld,https://github.com/mluogh/eastworld,49,"🔠 🔨 ""TypeScript""",Framework for Generative Agents in Games
2023-08-23,Remote-Sensing-ChatGPT,https://github.com/HaonanGuo/Remote-Sensing-ChatGPT,111,"🔠 🔨 ""Python""",Remote Sensing ChatGPT(RS-ChatGPT) is an open source tool for solving remote sensing tasks with ChatGPT in an interactive way.
2023-08-23,Lemur,https://github.com/OpenLemur/Lemur,167,🔠 🚌,Lemur: The State-of-the-art Open Pretrained Large Language Models Balancing Text and Code Capabilities
2023-08-23,chatgpt-finetune-ui,https://github.com/anchen1011/chatgpt-finetune-ui,145,"🔠 🔨 ""Python""",Simple python WebUI for fine-tuning ChatGPT (gpt-3.5-turbo)
2023-08-23,wechat-ai-summarize-bot,https://github.com/aoao-eth/wechat-ai-summarize-bot,172,"🔠 🔨 ""TypeScript""",微信群聊总结助手 Nodejs 版
2023-08-23,PIPE,https://github.com/jthack/PIPE,125,🔠 📝,Prompt Injection Primer for Engineers
